REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
293140,2018-10-03T18:00:00,Missed Pick Up,Call Center,1,DPW - Refuse,Shadyside,8,7,42003070500,2,7,4,11-Mar,-79.92914295,40.45725901,APPROXIMATE
293139,2018-10-03T17:59:00,Dead Animal,Call Center,1,Animal Care & Control,Highland Park,7,11,42003110600,2,11,5,9-Mar,-79.9165745,40.4756562,EXACT
293137,2018-10-03T17:56:00,Curb/Request for Asphalt Windrow,Call Center,3,DPW - Street Maintenance,Shadyside,8,7,42003070300,2,7,4,22-Mar,-79.9338974,40.4498927,EXACT
293138,2018-10-03T17:56:00,"Manhole Covers, PWSA",Call Center,1,Pittsburgh Water and Sewer Authority,Hazelwood,5,15,42003562900,3,15,4,13-Feb,-79.9443558,40.4073542,EXACT
293136,2018-10-03T17:55:00,Request New Sign,Call Center,1,DOMI - Traffic,Stanton Heights,7,10,42003101800,2,10,5,7-Mar,-79.9286908,40.487441,EXACT
293135,2018-10-03T17:54:00,Thank You,Call Center,1,311,Brighton Heights,1,27,42003270800,1,27,1,14-Jan,-80.03762891,40.48822599,APPROXIMATE
293134,2018-10-03T17:53:00,Thank You,Call Center,1,311,Greenfield,5,15,42003151700,3,15,4,12-Feb,-79.93838715,40.42266398,APPROXIMATE
293133,2018-10-03T17:50:00,Refuse Violations,Call Center,1,DPW - Refuse,Greenfield,5,15,42003151700,3,15,4,15-Feb,-79.92782728,40.42266605,APPROXIMATE
293132,2018-10-03T17:49:00,Refuse Violations,Call Center,1,DPW - Refuse,Greenfield,5,15,42003151700,3,15,4,15-Feb,-79.92787635,40.42284971,APPROXIMATE
293131,2018-10-03T17:40:00,Barking Dog,Call Center,1,Animal Care & Control,Bloomfield,7,8,42003080200,2,8,5,1-Mar,-79.95202326,40.46157256,APPROXIMATE
293130,2018-10-03T17:32:00,Sinkhole,Call Center,1,DPW - Street Maintenance,Squirrel Hill South,5,14,42003141400,3,14,4,15-Feb,-79.9239532,40.4234965,EXACT
293129,2018-10-03T17:21:00,Question,Call Center,1,311,,,,,,,,,,,OUT_OF_BOUNDS
293128,2018-10-03T17:17:00,Building Maintenance,Call Center,3,"Permits, Licenses and Inspections",Sheraden,2,20,42003562500,5,20,6,16-Jan,-80.05217883,40.45422077,APPROXIMATE
293127,2018-10-03T17:10:00,Illegal Parking,Call Center,1,Police - Zones 1-6,Sheraden,2,20,42003562500,5,20,6,16-Jan,-80.05189392,40.45424783,APPROXIMATE
293126,2018-10-03T17:07:00,Refuse Violations,Report2Gov iOS,0,DPW - Refuse,Central Lawrenceville,7,9,42003090100,2,9,2,3-Mar,-79.96362494,40.47220363,APPROXIMATE
293125,2018-10-03T17:03:00,Early Trash Set Out,Call Center,1,DPW - Refuse,Friendship,9,8,42003080700,2,8,5,23-Mar,-79.93370369,40.46260546,APPROXIMATE
293124,2018-10-03T17:01:00,Weeds/Debris,Call Center,1,"Permits, Licenses and Inspections",Homewood West,9,12,42003120700,2,12,5,18-Mar,-79.90196841,40.4629375,EXACT
